Site,Device,MAC,Type,Date,Start Time,Stop Time,Timestamp,Value
Site 1,Andersen_1st_Floor_B130_All_Gender,B0-B3-53-D1-76-BE,Masking,4/15/2025,9:43:39 AM,9:43:50 AM,1744728219,0.05
Site 1,Andersen_2nd_Floor_A228_All_Gender,B0-B3-53-D1-29-4D,Vape,4/10/2025,8:52:28 AM,8:52:58 AM,1744293148,48.6
Site 1,Andersen_2nd_Floor_A228_All_Gender,B0-B3-53-D1-29-4D,Vape,4/15/2025,3:44:03 PM,3:44:33 PM,1744749843,39.43
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/06/2025,3:17:02 PM,3:17:49 PM,1741295822,109.24
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/06/2025,3:18:06 PM,3:18:36 PM,1741295886,29.56
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/06/2025,3:20:38 PM,3:21:08 PM,1741296038,112.15
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/07/2025,8:59:34 AM,9:00:24 AM,1741359574,35.63
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/07/2025,9:00:34 AM,9:01:04 AM,1741359634,166.7
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/07/2025,9:01:03 AM,9:01:33 AM,1741359663,-198.68
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/07/2025,10:02:54 AM,10:03:24 AM,1741363374,1065.47
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/07/2025,10:03:19 AM,10:03:49 AM,1741363399,-128.45
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/07/2025,11:03:36 AM,11:04:06 AM,1741367016,158.28
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,9:19:46 AM,9:20:16 AM,1741616386,399.61
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/10/2025,9:20:10 AM,9:20:40 AM,1741616410,-17.39
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,9:20:19 AM,9:20:51 AM,1741616419,428.41
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/10/2025,9:20:45 AM,9:21:15 AM,1741616445,1695.15
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,9:21:23 AM,9:21:54 AM,1741616483,296.66
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/10/2025,9:21:50 AM,9:22:32 AM,1741616510,363.83
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,9:22:03 AM,9:22:33 AM,1741616523,344.87
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,11:17:05 AM,11:17:35 AM,1741623425,1437.6
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/10/2025,11:17:21 AM,11:17:51 AM,1741623441,-24.32
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,11:18:17 AM,11:18:51 AM,1741623497,259.45
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/10/2025,11:18:43 AM,11:19:13 AM,1741623523,189.06
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/10/2025,11:19:17 AM,11:19:47 AM,1741623557,108.99
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,8:54:24 AM,8:54:54 AM,1741701264,86.61
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,8:54:56 AM,8:55:26 AM,1741701296,218.34
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,8:57:29 AM,8:57:59 AM,1741701449,52.13
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,9:00:31 AM,9:01:01 AM,1741701631,69.44
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,9:02:17 AM,9:02:47 AM,1741701737,57.63
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/11/2025,10:22:22 AM,10:22:52 AM,1741706542,1046.97
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/12/2025,1:37:51 PM,1:38:21 PM,1741804671,421.04
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/12/2025,1:38:16 PM,1:38:46 PM,1741804696,-53.28
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/12/2025,1:38:35 PM,1:39:05 PM,1741804715,138.36
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/12/2025,1:39:57 PM,1:40:27 PM,1741804797,136.73
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/12/2025,2:22:18 PM,2:22:48 PM,1741807338,87.09
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/13/2025,11:02:45 AM,11:03:15 AM,1741881765,82.43
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/13/2025,11:31:11 AM,11:31:41 AM,1741883471,112.61
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,10:07:34 AM,10:08:04 AM,1741964854,75.84
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,11:22:37 AM,11:23:10 AM,1741969357,209.98
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/14/2025,11:23:05 AM,11:23:35 AM,1741969385,602.56
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,11:23:30 AM,11:24:00 AM,1741969410,266.51
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/14/2025,11:23:56 AM,11:24:26 AM,1741969436,-258.89
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,11:33:19 AM,11:33:49 AM,1741969999,229.34
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,11:50:58 AM,11:51:28 AM,1741971058,475.25
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/14/2025,11:51:23 AM,11:51:53 AM,1741971083,-160.22
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,11:52:15 AM,11:52:45 AM,1741971135,317.86
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/14/2025,11:52:41 AM,11:53:11 AM,1741971161,-489.13
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,1:30:59 PM,1:31:34 PM,1741977059,45.28
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,2:21:02 PM,2:21:32 PM,1741980062,150.93
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/14/2025,2:28:13 PM,2:28:43 PM,1741980493,49.57
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,9:11:28 AM,9:11:58 AM,1742220688,67.73
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:10:48 AM,10:11:18 AM,1742224248,63.89
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:11:47 AM,10:12:17 AM,1742224307,127.27
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:14:02 AM,10:14:32 AM,1742224442,61.86
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:17:24 AM,10:17:54 AM,1742224644,58.23
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:19:00 AM,10:19:30 AM,1742224740,75.42
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:22:24 AM,10:22:54 AM,1742224944,145.61
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/17/2025,10:24:20 AM,10:24:50 AM,1742225060,68.14
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Vape,3/18/2025,1:28:27 PM,1:29:02 PM,1742322507,127.07
Site 1,Andersen_2nd_Floor_Boys_D223_SE_Round,B0-B3-53-D1-29-53,Smoking,3/18/2025,1:28:53 PM,1:29:23 PM,1742322533,74.35
